2026-03-10 22:45:22.414 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 22:45:22.414 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 22:45:22.414 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 22:45:22.414 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 22:45:22.415 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 22:58:49.618 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 22:58:51.479 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 22:58:51.480 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 22:58:51.480 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 22:58:51.480 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 22:58:51.480 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:00:19.076 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:00:20.782 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:00:20.783 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:00:20.783 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:00:20.783 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:00:20.783 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:00:47.981 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:00:49.746 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:00:49.746 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:00:49.746 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:00:49.746 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:00:49.746 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:23:56.775 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:23:56.775 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:23:56.775 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:23:56.775 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:23:56.776 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:28:53.220 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:28:54.944 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:28:54.945 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:28:54.945 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:28:54.945 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:28:54.945 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:33:36.391 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:33:38.236 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:33:38.236 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:33:38.237 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:33:38.237 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:33:38.237 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:34:48.427 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:34:48.427 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:34:48.427 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:34:48.427 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:34:48.427 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:39:44.437 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:39:46.324 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:39:46.325 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:39:46.325 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:39:46.325 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:39:46.325 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:41:40.961 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:41:42.863 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:41:42.864 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:41:42.864 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:41:42.864 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:41:42.864 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:43:43.397 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:43:43.397 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:43:43.397 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:43:43.397 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:43:43.397 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:48:39.031 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:48:40.890 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:48:40.890 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:48:40.890 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:48:40.890 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:48:40.890 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:50:34.728 | INFO     | main:lifespan:46 - 应用正在关闭...
2026-03-10 23:50:37.194 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:50:37.194 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
2026-03-10 23:50:37.195 | INFO     | main:lifespan:39 - 版本: 1.0.0
2026-03-10 23:50:37.195 | INFO     | main:lifespan:40 - 调试模式: True
2026-03-10 23:50:37.195 | INFO     | main:lifespan:41 - ==================================================
2026-03-10 23:52:05.631 | INFO     | main:lifespan:37 - ==================================================
2026-03-10 23:52:05.631 | INFO     | main:lifespan:38 - Health Management AI Service 启动中...
